vendor_string,appropriation_name,department,payments,total_usd
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(40000880) MASSHEALTH - FAMILY ASSISTANCE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,16278.56
BEYOND INDEPENDENT LIVING LLC,(UNASSIGNED) INDEMNITY / THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),3,13925.17
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(41206002) HEAD INJURED RETAINED REVENUE,MASS REHABILITATION COMMISSION (MRC),52,13342.00
GREATER BOSTON HOME HEALTH CARE LLC,(40000500) MANAGED CARE PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),13,11719.18
GREATER BOSTON HOME HEALTH CARE LLC,(40000700) INDEMNITY / THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),25,5811.28
GREATER BOSTON HOME HEALTH CARE LLC,(40000940) ACA EXPANSION POPULATIONS,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),3,5159.86
BEYOND HEATHCARE AGENCY,(41206002) HEAD INJURED RETAINED REVENUE,MASS REHABILITATION COMMISSION (MRC),11,3227.00
BEYOND INDEPENDENT LIVING LLC,(UNASSIGNED) ACA EXPANSION POPULATIONS,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),2,2830.61
GREATER BOSTON HOME HEALTH CARE LLC,(40000320) PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),4,2360.61
BEYOND INDEPENDENT LIVING LLC,(UNASSIGNED) COMMONHEALTH SUPPLEMENTAL CARE FOR,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),2,1917.51
BEYOND HEALTHCARE AGENCY LLC,(UNASSIGNED) MASSHEALTH SENIOR CARE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,1809.95
GREATER BOSTON HOME HEALTH CARE LLC,(UNASSIGNED) MASSHEALTH SENIOR CARE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,1470.40
GREATER BOSTON HOME HEALTH CARE LLC,(UNASSIGNED) INDEMNITY / THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,524.58
BEYOND HEATHCARE AGENCY,(41204000) INDEPENDENT LIVING ASSISTANCE PROGRAM,MASS REHABILITATION COMMISSION (MRC),1,252.00
BEYOND HEALTHCARE AGENCY LLC,(UNASSIGNED) INDEMNITY / THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,195.31
BEYOND HEALTHCARE AGENCY LLC,(UNASSIGNED) ACA EXPANSION POPULATIONS,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,107.88
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(15996903) CHAPTER 257 RESERVE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),1,11.00
